Company Name,Founded,Headquarters,Key People,Products,Revenue,Number of Employees,Website,,,
"Motorola Solutions, Inc.",,", ",Greg Brown (businessman)|Greg Brown (chairman & CEO),"Mission-critical communications, command center software and video security & access control, managed & support services",increase USD|9.98 billion|link=yes (2023),"circa|20,000",,,,
Grasim Industries Limited,,", ",Kumar Mangalam Birla<br> (Chairman)<br>  H K Agarwal <br>(MD),,"increase INRConvert|132243|c (2024)<ref name=""BalSheet"">cite web |date=22 May 2024 |url=https://www.grasim.com/Upload/PDF/grasim-integrated-annual-report-2023-24.pdf|title=Outcome of Board Meeting pursuant to Regulations 30, 33, 52 and other applicable Regulations of SEBI |website=BSE</ref>","45,929 (including 20,000 non-permanent employees) (March 2024)<ref name=""BalSheet""/>",,,,
"Equinix, Inc.",Start date and age|1998,"Redwood City, California, United States",ubl|Adaire Fox-Martin (Chief executive officer|CEO and President (corporate title)|president),Data centers,gain USD|8.19 billion|link=yes (2023),13151,url|equinix.com,,,
TE Connectivity plc,Start date and age|2007,", ",Terrence Curtin (Chief executive officer|CEO),"electronics, electronic components, Computer networking|networking, connector systems, sensors",decrease US$|15.85 billion|link=yes (2024),"87,000 (2024)",URL|te.com,,,
Seagate Technology Holdings plc,,", ","Michael R. Cannon (chairman), Dave Mosley (Chief executive officer|CEO)",hlist|Hard disk drives| hybrid drives| solid-state drives,decrease US$|6.55 billion|link=yes (2024),"30,000 (2024)",,,,
The Clorox Company,Start date and age|1913|5|3,"Oakland, California, U.S.",Linda Rendle (CEO),"hlist|Cleaning supplies|bags and wrap|foods, personal care|water filtration|grilling|pet care supplies","decrease US$|7.09&nbsp;billion|link=yes<ref name=""2024-10K"" />",8000,URL|thecloroxcompany.com,,,
Lonza Group AG,,", ",unbulleted list|Jean-Marc Huët (chairman)|Wolfgang Wienand (Chief Executive Officer|CEO),Biopharmaceuticals,"increase CHF|6.72 billion|link=yes|ISO=yes (2023)<ref name=""AR2023"">cite web |url=https://www.lonza.com/annualreport/2023/documents/Lonza_2023_Annual_Report.pdf |format=PDF |title=Annual Report 2023 |access-date=10 June 2024 |publisher=Lonza Group </ref>","18,000 (2023)<ref name=""AR2023"" />",,,,
Liberty Global Ltd.,"Start date and age|2005 in Douglas County, Colorado|Douglas County, Colorado, U.S.",", ",Mike Fries (Chief executive officer|CEO),ubl|Internet access|Broadband internet|Cable television|Telephony|Mobile phone|Mobile|Direct-broadcast satellite,decrease US$|7.20 billion|link=yes (2022)<ref name=finance>cite web|url=https://finance.yahoo.com/quote/LBTYA/financials/|title=Financials|publisher=Yahoo! Finances</ref>,"23,000 (2020)<ref>cite web|url=https://www.macrotrends.net/stocks/charts/LBTYA/liberty-global/number-of-employees|title=Liberty Global: Number of Employees 2006–2020|access-date=11 March 2021</ref>",URL|libertyglobal.com,,,
"Mitsubishi Heavy Industries, Ltd.",,", ","ill|Shunichi Miyanaga|jp|宮永俊一 (chairman),  ill|Seiji Izumisawa|jp|泉澤清次  (President (corporate title)|president & Chief Executive Officer|CEO)",,"gain Japanese Yen|¥3,860.2 billion (2021)<ref name=""report"">cite web|url=https://www.mhi.com/finance/library/result/pdf/fy20214q/financial_results.pdf|title=MHI Announces FY2021 Consolidated Financial Results</ref>","99,892 (total), 22,424 (non-consolidated) 77,468 (consolidated), (as of|2023|3|31|lc=y|df=US)<ref>Cite web|url=https://www.mhi.com/company/overview/profile|title=Corporate Profile｜Mitsubishi Heavy Industries|website=mhi.com|access-date=2024-05-04</ref>",,,,
"PulteGroup, Inc.",Start date and age|1950,", ","nowrap| Ryan R. Marshall, CEO & President (corporate title)|President<BR>John Chadwick, Executive Vice-President|EVP<BR>G. Robert T. O'Shaughnessy, CFO",,increase US$|13.927 billion|link=yes (2021),"6,182 (2021)",URL|pultegroupinc.com,,,
"Japan Exchange Group, Inc.",,", ","Akira Kiyota, President (corporate title)|President & chief executive officer|CEO",,,1223,,,,
"Rockwell Automation, Inc.",Start date and age|1903,", ","Blake Moret, (Chairman and CEO)",,decrease US$|8.26 billion|link=yes (2024),"circa|27,000",URL|rockwellautomation.com,,,
Western Digital Corporation,"start date and age|1970|4|23 in Newport Beach, California",", ",David Goeckeler (CEO)<ref>cite web | url=https://www.zdnet.com/article/cisco-exec-david-goeckeler-appointed-ceo-of-western-digital/ | title=Cisco exec David Goeckeler appointed CEO of Western Digital | website=ZDNet </ref>,ubl|Hard disk drives|Flash memory#NAND flash|NAND Flash-based storage devices|Storage systems,decrease US$|12.3 billion|link=yes (2023),"circa|53,000 (2023)",URL|https://westerndigital.com,,,
"Alexion Pharmaceuticals, Inc.",Start date and age|1992,", ",Leonard Bell (chairman)<br>Ludwig N. Hantson (Chief Executive Officer|CEO),nowrap|Eculizumab (Soliris)<BR>Ravulizumab (Ultomiris)<BR>Asfotase alfa (Strensiq)<BR>Sebelipase alfa (Kanuma)<BR>Andexanet alfa (Andexxa),nowrap|increase US$|6.069 billion|link=yes (2020),"2,525 (2020)",URL|www.alexion.com,,,
Severstal,,", ",nowrap|Alexey Mordashov <small>(Chairman)</small><br>Alexander Shevelev <small>(CEO)</small>,"Steel, metalware, large diameter pipe",wikidata revenue|revenue|numwikidata revenue|revenue|ref,50000,,,,
Bank of Baroda Ltd.,Start date and age|df=yes|1908|07|20,"Vadodara, Gujarat, India<ref>cite web |title=Contact Us |url=https://www.bankofbaroda.com/contact-us.htm |website=Bank of Baroda |access-date=16 March 2019</ref>","ubl|Hasmukh Adhia<br> small|(Chairman) |Debadatta Chand<br>small|(MD & CEO)<ref>cite news|url=https://www.businesstoday.in/industry/banks/story/govt-appoints-debadatta-chand-as-managing-director-of-bank-of-baroda-379405-2023-04-29|title=Govt appoints Debadatta Chand as Managing Director of Bank of Baroda|work=Business Today Desk|access-date=Apr 29, 2023</ref>",ubl|Retail banking|Corporate banking|Investment banking|Mortgage loans| Private banking|Wealth management|Asset management|Investment management|Mutual funds|Exchange-traded funds|Index funds|Credit cards|Insurance,"Increase INRConvert|1.42|lc (2024) <ref name=""BalSheet"">[https://www.bankofbaroda.in/shareholders-corner/financial-reports/-/media/Project/BOB/CountryWebsites/India/pdfs2/2024/24-05/Financial-Results.pdf ""Balance Sheet 31.03.2024""]. www.bankofbaroda.in (28 October 2024).</ref>",74227,URL|www.bankofbaroda.in/,,,
"Molina Healthcare, Inc.","Start date and age|1980 in Long Beach, California, U.S.",", ","Joseph M. Zubretsky (President (corporate title)|president & Chief executive officer|CEO), 
Mark Keim (Chief financial officer|CFO)<ref>https://investors.molinahealthcare.com/corporate-governance/management Bare URL inline|date=August 2024</ref>",Health insurance|Health plans,increase US$|34.1 billion|link=yes (2023),"circa|18,000 (2023)",URL|molinahealthcare.com,,,
DaVita Inc.,Start date and age|1979,", ",Javier J. Rodriguez (Chief executive officer|CEO),,increase US$|12.140 billion|link=yes (2023),"70,000 (2023)",URL|https://davita.com,,,
Electronic Arts Inc.,"Start date and age|1982|05|27 in San Mateo, California, US","Redwood City, California, US","Unbulleted list
| Andrew Wilson (businessman)|Andrew Wilson nowrap|(Chief executive officer|CEO and chairman)
| Laura Miele nowrap|(President (corporate title)|president of EA Entertainment)
| Cam Weber nowrap|(president of EA Sports)",See list of Electronic Arts games,Increase US$|7.56&nbsp,billion|link=yes,"circa|13,700",URL|https://www.ea.com/|ea.com,,
"Align Technology, Inc.",,", ","Joe Hogan (President (corporate title)|president & Chief Executive Officer|CEO), Karim Boussebaa (Executive Vice President and Managing Director, iTero Scanner and Services Business) , John F. Morici (CFO and Executive Vice President, Global Finance), Dr. Mitra Derakhshan (Senior Vice President, Global Clinical)","Clear aligners, intra-oral scanners, dental CAD SW",increase US$|3.86 billion|link=yes (2023),formatnum:21610,,,,
Kuwait Finance House,,", ","Hamad Abdulmohsen Al-Marzook ,  (Chairman) ,   Abdulwahab Iesa Alrushood ,  (Acting CEO)",,"profit KD 1,461 million Kuwaiti Dinar|KWD (2023)","20,320 (2023)",,,,
"American Water Works Company, Inc.",Start date and age|1886,"Camden, New Jersey, U.S.","M. Susan Hardwick, CEO and Board Member<br/>John C. Griffith, President<br/>Cheryl Norton, EVP and Chief Operating Officer<br/>David Bowler, EVP and Chief Financial Officer<ref>cite web|url=https://www.tipranks.com/news/company-announcements/american-water-announces-executive-leadership-changes-and-compensation-updates#google_vignette|title=American Water Announces Executive Leadership Changes and Compensation Updates
|website=tipranks.com|access-date=26 August 2024</ref><br/>
Stacy Mitchell, EVP and General Counsel<br/>Melanie M. Kennedy, EVP and Chief Human Resources Officer<br/>Nicholas Furia, VP and Treasurer",Water,up US$|3.93 billion|link=yes <small>(2021)</small><ref>cite web|url=https://www.nasdaq.com/market-activity/stocks/awk/financials|title=AWK Financials|website=nasdaq.com|access-date=23 May 2022</ref>,"6,500<ref>cite web |title=2022 Annual Report - American Water Works |url=https://www.annualreports.com/Company/american-water-works-company-inc |website=Annual Reports.com</ref>",[http://www.amwater.com/ American Water Corporate],,,
Givaudan S.A.,,", ","ubl
|Gilles Andrier (CEO)
|Calvin Grieder (chairman)<ref>cite web|url=https://www.givaudan.com/our-company/management|title=Our Management|work=givaudan.com</ref>",Taste & Wellbeing and Fragrance and Beauty,Swiss franc|CHF 6.9 billion (2023)<ref>cite web|url=https://www.givaudan.com/media/media-releases/2022/2021-full-year-results|title=2021 Full Year Results - Givaudan|website=www.givaudan.com</ref>,">16,263 (2023)",,,,
Invesco Ltd.,,", ",Unbulleted list|Rick Wagoner (chairman)|Andrew Schlossberg (CEO),"Investment management: Real estate investing|real estate, Distressed securities|distressed investing, loan|bank loans, Mathematical finance|quantitative equity, Fundamental analysis|fundamental Stock|equity, Fixed income, hedge funds, Fund of funds, Socially responsible investing|environmental investing and Exchange-traded fund|ETFs",decrease US$|5.72 billion|link=yes (2023),"8,489 (2023)",,,,
JSW Steel Limited,1982,", ","Sheshagiri Rao MVS, Jayant Acharya","Steel, flat steel products, long steel products, Wire|wire products, plates","profitINRConvert|176010|c (2024)<ref name=""Financials"">cite web|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/6d30269b-1b70-4783-b4b1-9fc4cfdcde32.pdf|title=JSW Steel Ltd. Financial Statements |website=bseindia.com</ref>","38,446 (2024) (Including 25,145 contractual employees)<ref name=""Financials""/>",,,,
Yara International ASA,,", ","Svein Tore Holsether (President and chief executive officer|CEO), Leif Teksum (Chairman)","Nitrogen fertilizers, nitrates",increase Norwegian krone|NOK 2.322 Billion (''Fiscal Year Ended 31 December 2020'')<ref name=AnnualR2020>cite web|title=Yara International ASA 2020 Integrated Annual Report |url=https://www.yara.com/siteassets/investors/057-reports-and-presentations/annual-reports/2020/yara-integrated-report-2020-web.pdf/ |website=yara.com |accessdate=18 October 2021|date=31 December 2020</ref>,"17,000 (end 2020)<ref name=""AR2015"">cite web|url=http://yara.com/doc/227952_Yara_Annual_report_2015.pdf|title=Financial Report 2015|publisher=Yara International|access-date=19 September 2016|archive-date=29 March 2017|archive-url=https://web.archive.org/web/20170329011833/http://yara.com/doc/227952_Yara_Annual_report_2015.pdf|url-status=dead</ref>",,,,
Wens Foodstuff Group,"<!-- if known: Start date and age|YYYY|MM|DD in city, country -->",", China",,Pork,,,<!-- URL|example.com -->,,,
"Tokyo Gas Co., Ltd.",,", ",SASAYAMA Shinichi<ref>Cite web |url=https://www.tokyo-gas.co.jp/about/message/index.html?wovn=en |title = President's Message |accessdate=2024-01-11</ref><br><small>(President (corporate title)|President and CEO)</small>family name hatnote|SASAYAMA|lang=Japanese,,"increase JPY|1,535,242 million (FY 2011)","16,832 (2013)",,,,
China Resources Power,,", ",Song Lin (Chairman),,,,,,,
"Intuitive Surgical, Inc.",,", ",unbulleted list|Gary S. Guthart (chief executive officer|CEO)|Dave Rosa (president (corporate title)|president)|Craig Barratt (chairman),da Vinci Surgical System|''da Vinci'' Surgical System,increase US$|7.12 billion|link=yes (2023),13676,url|intuitive.com,,,
Tata Steel Limited,,", ","ubl|T. V. Narendran, (CEO & Managing Director)|Koushik Chatterjee, (Chief financial officer|CFO)<ref>cite web |title=Tata Steel Ltd |url=https://www.reuters.com/markets/companies/TISC.NS/ |publisher=Reuters |access-date=19 May 2024</ref>","Steel ,  Long steel products ,  Structural steel , Wire|Wire products ,  Steel casing pipes ,  Household goods",Decrease INRConvert|230980|c (2024)<ref name=2019FY>cite web|url=https://www.bseindia.com/xml-data/corpfiling/AttachLive/6febe8f3-7d19-4ea8-8fc7-fb31dbece877.pdf|title=Tata Steel Ltd. Financial Statements |website=bseindia.com|accessdate=29 May 2024</ref>,"up 78,321 (2024)<ref name=2019FY />",,,,
Monster Beverage Corporation,,", ",unbulleted list|Rodney Sacks nowrap|(chairman and Chief executive officer|co-CEO) |Hilton Schlosberg nowrap|(vice-chairman and co-CEO),Energy drinks,profit US$|7.14 billion|link=yes (2023),5254,URL|monsterbevcorp.com,,,
"Autodesk, Inc.","Start date and age|1982|1|30, in Mill Valley, California, U.S.",", ",ubl|Crawford W. Beveridge (chairman)|Andrew Anagnost (Chief executive officer|CEO),#Products|See § Products,nowrap| Increase US$|5.50 billion|link=yes (2024),"14,100 (2024)",url|https://www.autodesk.com/|autodesk.com,,,
PAO Rosseti,,", ",Nikolay Nikoalevich Shvets <small>(CEO)</small>,Electric power,wikidata revenue|revenue|USDwikidata revenue|revenue|ref,,,,,
Bank Hapoalim B.M.,,"Tel Aviv, Israel","Dov Kotler, CEO <br> Oded Eran, Chairman of the Board","Credit cards, Retail banking|consumer banking, Commercial bank|corporate banking, Financial services|finance and insurance, investment banking, mortgage loans, private banking, private equity, savings, securities, asset management",increaseUS$10.8 billion (2021)<ref name=Forbes>Cite web|url=https://www.forbes.com/companies/bank-hapoalim/?sh=2d4b0ec46e2c|title=Bank Hapoalim|date=2021-05-13|access-date=|website=Forbes</ref>,"8,708 (2021)<ref name=Forbes/>",URL|bankhapoalim.com,,,
Equity Residential,Start date and age|1969,", ",nowrap| Mark J. Parrell (Chief executive officer|CEO)<BR />David J. Neithercut (Chairman)<BR />Robert A. Garechana (CFO),,increase US$|2.735 billion|link=yes (2022),"2,400 (2022)",,,,
Commerzbank AG,Start date and age|1870|02|26|df=y in Hamburg,"Frankfurt am Main, Germany","Unbulleted list|ill|Bettina Orlopp|de, (Chairwoman of the Vorstand|Board of Managing Directors)|Jens Weidmann, (Chairman of the Supervisory Board)",,increase €10.5 billion,42098,Official URL,,,
"Crown Holdings, Inc.",Start date and age|1892,", ","Timothy J. Donahue, (CEO, President, and Chairman of the Board), Kevin C. Clothier, (CFO and SVP)",ubl|Aerosol Packaging|Beverage Packaging|Food Packaging|Metal Closures|Speciality Packaging,decrease US$|12.0 billion|link=yes (2023),"circa|25,000 (2023)",[http://www.crowncork.com/ www.crowncork.com],,,
Public Storage,"Start date and age|1972|8|14<br>El Cajon, California, U.S.",", ","Unbulleted list|Ronald L. Havner, Jr. (chairman)|Joseph D. Russell, Jr. (president (corporate title)|president and CEO)",,increase US$|4.52 billion|link=yes (2023),"circa|6,200",URL|publicstorage.com,,,
Shanghai Pharmaceuticals Holding Co. Ltd.,1994,", ",,,"increase US$ 36,769 million (2023)<ref name=Financials>cite web |title=Shanghai Pharmaceuticals|url=https://fortune.com/company/shanghai-pharmaceuticals-holding/ |website=Fortune Global 500 |publisher=Fortune |access-date=2024-08-24</ref>","48,164 (2023)<ref name=Financials />",url|http://www.sphchina.com/,,,
